epoch,train_loss,val_loss,lr,best_loss
1,0.012594456246435981,0.0030100209064266616,9.9999755727492e-05,0.0030100209064266616
2,0.004314513717481227,0.002969289031248502,9.999902291237878e-05,0.002969289031248502
3,0.0034985796916872413,0.0022041178613872916,9.999780156189302e-05,0.0022041178613872916
4,0.0030410645960308046,0.0018861854939154735,9.999609168808891e-05,0.0018861854939154735
5,0.0027097493264454917,0.0017408710665295297,9.999389330784221e-05,0.0017408710665295297
6,0.002395051550815785,0.0016051824119306555,9.999120644285006e-05,0.0016051824119306555
7,0.002183607894756756,0.001382808224352387,9.998803111963074e-05,0.001382808224352387
8,0.0020432107455174747,0.0013181029447671873,9.998436736952336e-05,0.0013181029447671873
9,0.001955456803176044,0.0013410774863567298,9.998021522868771e-05,0.0013181029447671873
